Shop_ID,Mall_Name,City,Floor,Shop_Size_sqft,Footfall_per_day,Nearby_Brands,Has_Food_Court,Monthly_Sales,Rent
S057,2,4,4,523,6122,2,1,1181876,7638
S058,0,3,2,2343,7267,14,0,815537,62885
S059,2,2,1,373,7486,18,1,1771610,72235
S060,0,2,2,1412,4017,14,1,133560,40999
S061,0,2,0,2374,4235,17,1,292615,93042
S062,2,1,1,1952,9852,9,0,93642,64315
S063,1,3,4,1002,8934,19,0,567083,20690
S064,0,4,1,212,3090,2,0,541036,-2786
S065,0,0,1,1390,1563,15,1,377304,68862
S066,2,4,1,2992,4824,16,0,1902610,82578
S067,0,0,1,838,9611,19,1,415464,62327
S068,0,4,2,1634,5842,3,1,663089,50213
S069,2,3,0,1783,505,18,0,1386651,50966
S070,2,0,3,2302,7989,19,1,1192953,94613
S071,3,1,1,660,9159,7,0,1914200,70235
S072,1,4,4,534,8695,5,0,1931550,64373
S073,1,4,1,554,6466,2,0,1927528,38681
S074,0,0,4,667,9337,9,0,376916,35740
S075,1,1,2,625,617,8,0,1550554,25533
S076,0,1,4,2150,3051,4,1,362250,66794
S077,3,3,3,2906,6060,11,1,655409,88571
S078,2,1,0,1818,4789,11,1,1124135,88507
S079,2,1,4,2043,1346,15,0,942027,89152
S080,2,1,4,2968,6816,3,0,608030,61546
S081,1,2,0,1610,6969,2,0,906101,92205
S082,3,3,3,2874,9833,19,1,1775690,112720
S083,1,4,1,863,9415,8,0,1233620,42758
S084,1,0,4,232,724,9,1,1955839,55399
S085,3,4,0,1318,4708,2,1,1210793,83898
S086,3,3,2,2654,6783,4,0,1664737,54170
S087,3,0,0,2051,2548,9,0,942964,85005
S088,3,3,2,2198,6733,16,1,453119,93937
S089,2,1,3,200,2328,6,0,708380,65027
S090,4,0,1,834,2417,4,1,1926763,29863
S091,4,1,0,866,4734,2,0,1970964,26389
S092,3,4,4,1619,7488,16,0,1185564,12727
S093,4,4,3,598,2526,9,1,619936,46945
S094,4,0,0,1030,4244,3,0,175991,42943
S095,3,0,4,637,9593,4,1,452732,35481
S096,4,3,0,1973,509,15,0,556079,46475
S097,1,3,2,2231,760,15,1,576684,34260
S098,0,1,0,2292,6538,12,1,1182658,97424
S099,0,0,0,1724,2719,17,0,178322,40004
S100,3,4,0,2351,7541,5,1,706951,134727
S101,2,3,3,399,2560,6,0,61303,17592
S102,3,3,0,823,5787,15,0,1260209,26226
S103,2,4,4,587,2119,17,0,1432439,19296
S104,0,3,2,2315,9012,19,1,1348266,52009
S105,3,1,2,920,1842,8,1,1059612,49129
S106,1,0,0,417,3332,11,0,1882684,20021
S107,4,4,3,2134,3324,8,0,149616,72283
S108,2,0,3,1227,2494,2,1,960597,35898
S109,4,3,4,385,3990,17,0,1184807,55943
S110,4,3,0,538,9810,5,0,319458,55339
S111,3,4,2,912,8484,19,1,1118199,58719
S112,4,1,3,1998,2104,3,0,773035,74282
S113,1,2,0,2598,735,2,1,540042,80485
S114,4,4,3,773,2408,16,0,508298,90335
S115,3,2,3,2964,9067,6,1,1097343,74404
S116,1,2,2,1402,4030,12,0,1575416,44622
S117,0,1,1,727,5756,11,0,155228,68291
S118,4,2,4,2272,3135,3,1,476346,26979
S119,3,2,4,584,8662,4,0,1805692,60422
S120,0,1,2,2300,3060,13,1,934056,73906
S121,0,2,3,913,5915,6,0,1780228,17760
S122,2,2,0,2935,3891,6,1,1996793,47546
S123,1,2,3,1479,6451,7,1,1619123,42137
S124,4,4,2,2295,5968,10,1,1971214,23664
S125,3,4,4,2995,8507,3,1,1167850,69648
S126,2,4,3,1508,9564,13,0,1232117,67699
S127,1,1,4,2632,9944,4,0,1152523,57841
S128,2,3,0,596,6913,13,1,1776470,77032
S129,1,2,4,2167,7441,18,1,1293268,105585
S130,1,2,4,1481,5320,11,1,98874,79867
S131,4,1,1,398,3398,15,0,1672572,33878
S132,1,2,1,315,8046,18,0,1173129,-7676
S133,2,4,1,1508,577,19,0,642632,28200
S134,1,3,4,1169,8077,18,0,1934146,45848
S135,4,0,2,691,4727,15,1,759662,27441
S136,4,2,4,908,1100,10,1,621926,34029
S137,2,4,2,2278,1565,9,1,1176825,92001
S138,0,0,2,2330,2636,3,0,1990873,16806
S139,0,3,1,946,7443,14,0,577007,81309
S140,1,0,3,287,8304,8,0,728250,49607
S141,3,4,0,2381,7065,10,1,520452,80209
S142,1,0,1,1503,6484,12,1,1528301,46240
S143,2,1,1,2982,5642,15,0,92534,55034
S144,2,0,3,2025,5170,5,1,545518,27690
S145,2,2,0,218,2690,14,0,666529,59985
S146,2,2,4,2743,9684,3,0,462003,98765
S147,2,1,4,2250,3212,6,1,176209,31048
S148,4,4,1,1623,2692,12,0,492061,33676
S149,0,2,0,354,1748,7,1,1287580,40968
S150,2,3,1,2323,4533,19,0,666412,56420
S151,3,2,2,192,2497,11,1,1714523,-6999
S152,3,2,1,2056,4187,5,1,214134,47558
S153,3,4,1,2308,4518,10,1,1174289,106676
S154,3,0,4,910,2470,7,0,1841199,16290
S155,4,2,4,2292,8889,3,0,538972,56388
S156,3,1,4,2144,6265,18,1,1027965,46786
S157,2,0,2,2085,1702,6,1,1173994,67434
S158,1,3,4,1049,8635,7,0,1034176,44808
S159,3,4,0,509,6067,13,0,1226808,21428
S160,4,3,3,1869,8167,11,0,570551,30775
S161,4,0,0,430,6242,7,1,213038,70524
S162,3,0,0,2037,6288,9,0,1040049,25520
S163,1,0,4,816,5908,3,0,980491,41632
S164,3,3,3,242,9169,13,1,1266959,2390
S165,4,0,3,821,9946,14,0,1916583,60351
S166,0,3,3,2119,1422,8,0,1424572,65034
S167,2,0,2,210,919,11,0,308722,40383
S168,4,1,4,2831,2704,14,1,182079,67648
S169,3,0,3,1178,1620,18,1,252053,78590
S170,2,3,2,1639,1450,15,1,650530,99140
S171,3,2,1,753,2836,3,1,1277165,31034
S172,3,0,1,831,5873,12,1,1601814,40190
S173,0,2,2,2731,2743,2,1,1127833,68434
S174,2,1,2,1578,3145,5,1,530488,40906
S175,2,4,4,2842,5112,12,0,485423,52376
S176,0,1,4,2430,2365,9,0,1242929,40945
S177,4,0,1,673,6528,12,1,373390,82466
S178,3,2,3,2543,7826,5,0,313579,78734
S179,1,2,1,2743,6871,18,0,1328523,63268
S180,3,3,3,2118,6859,8,1,1330334,17385
S181,3,2,3,1251,8363,9,0,1714221,16101
S182,4,3,4,1903,3728,4,0,1256308,54069
S183,3,4,0,1986,4219,3,0,1049701,7296
S184,0,0,0,2991,2871,16,0,981011,74466
S185,0,3,2,2446,3391,6,0,1826531,33160
S186,2,4,4,2244,4256,2,1,1706671,61008
S187,1,2,3,1294,4725,5,1,1537331,49637
S188,3,2,0,2411,594,16,1,188563,67764
S189,3,4,3,2436,3174,4,0,833066,43999
S190,4,2,0,1229,7398,12,1,1604623,50685
S191,0,4,0,2547,1293,18,0,755552,45375
S192,1,3,0,256,2616,14,0,376032,35749
S193,2,3,4,197,6279,12,0,647897,43616
S194,0,4,1,486,6666,3,0,1894085,6742
S195,2,3,3,1199,1314,10,1,822800,41580
S196,4,3,4,1430,845,3,1,1352549,44571
S197,4,3,4,2205,9054,10,0,1381673,65858
S198,3,1,4,774,2943,10,1,1475402,41831
S199,1,0,4,2040,8283,9,0,1612833,49625
S200,2,2,4,1426,1484,18,1,1952897,54938
